公路編號,公路編碼,隸屬縣市,管養單位,管養工務段,調查日期,坐標-X-TWD97,坐標-Y-TWD97,坐標-E-WGS84,坐標-N-WGS84,起點樁號,隸屬鄉鎮,隸屬村里,坐標Z（公尺）,設置位置,編號,種類,性質,牌面內容,現況,是否為公路局設置,備註,牌面方向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,302020,2771031.7,121.5155452,25.0465418,0K+423,中正區,黎明里,24.4,左側,S0046,禁制,限5,50,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301914.5,2771059.8,121.5145013,25.046799,0K+532,中正區,黎明里,24.3,左側,S0068,禁制,限5,50,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301851.5,2771109.6,121.5138785,25.0472505,0K+606,中正區,黎明里,24.5,右側,S0077,禁制,限5,30,良好,是,,順向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301739.5,2771101.8,121.5127683,25.0471844,0K+713,中正區,光復里,24.2,左側,S0106,禁制,限5,30,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301637.4,2771129.3,121.5117572,25.0474361,0K+816,中正區,光復里,24.4,左側,S0124,禁制,限5,30,良好,是,,逆向
台21,P0210,南投縣,中區養護工程分局,埔里工務段,2023/5/15,242906.3,2660069.7,120.9302523,24.0455693,33K+244,埔里鎮,合成里,691.37,左側,S2105,禁制,限5,40,良好,是,,逆向
台21,P0210,南投縣,中區養護工程分局,埔里工務段,2024/3/6,242863,2660060.5,120.929827,24.04548575,33K+289,埔里鎮,合成里,689.49,右側,S0549,禁制,限5,40,良好,是,右側,順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2016/4/7,239190.7,2636045.4,120.8938972,23.82861777,69K+254,魚池鄉,武登村,682.717,右側,S0033,禁制,限5,50,良好,是,"右側,牌面更新",順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2024/3/5,238879.9,2635680.9,120.8908492,23.82532371,70K+053,魚池鄉,武登村,711.895,左側,S0052,禁制,限5,50,良好,是,照片更新,逆向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2024/3/5,238418.6,2634898.6,120.886328,23.81825703,71K+207,魚池鄉,武登村,669.056,右側,S0113,禁制,限5,50,良好,是,照片更新,順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2024/3/5,238237,2634792.8,120.8845463,23.81730009,71K+431,魚池鄉,武登村,653.997,左側,S0082,禁制,限5,50,良好,是,照片更新,逆向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2024/3/5,238359.2,2634346.3,120.8857493,23.81326923,72K+007,魚池鄉,武登村,621.556,右側,S0143,禁制,限5,50,良好,是,照片更新,順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2016/4/7,238326.7,2634003,120.8854325,23.81016892,72K+370,水里鄉,鉅工村,602.601,右側,S0153,禁制,限5,50,良好,是,"右側,牌面更新",順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2022/1/25,238237.5,2633726.5,120.8845596,23.80767126,72K+666,水里鄉,頂崁村,587.008,左側,S0104,禁制,限5,50,良好,是,"左側,牌面更新",逆向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2021/4/11,237756.4,2633635.5,120.8798384,23.80684606,73K+442,水里鄉,頂崁村,541.769,右側,S0209,禁制,限5,50,良好,是,"右側,牌面更新",順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2024/3/5,237401.8,2633744.9,120.8763578,23.8078311,73K+930,水里鄉,頂崁村,513.713,左側,S0140,禁制,限5,50,良好,是,照片更新,逆向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2021/4/18,236926.5,2633762.5,120.8716929,23.80798628,74K+431,水里鄉,頂崁村,490.777,右側,S0237,禁制,限5,50,良好,是,"右側,牌面更新",順向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2021/4/18,236593.7,2633260.5,120.8684312,23.80345062,75K+189,水里鄉,頂崁村,450.286,左側,S0160,禁制,限5,50,良好,是,左側,逆向
台21,P0210,南投縣,中區養護工程分局,信義工務段,2021/5/15,236618.5,2632901.3,120.8686777,23.80020728,75K+558,水里鄉,頂崁村,426.706,右側,S0273,禁制,限5,50,良好,是,"右側,牌面更新",順向
