公路編號,公路編碼,隸屬縣市,管養單位,管養工務段,調查日期,坐標-X-TWD97,坐標-Y-TWD97,坐標-E-WGS84,坐標-N-WGS84,起點樁號,隸屬鄉鎮,隸屬村里,坐標Z（公尺）,設置位置,編號,種類,性質,牌面內容,現況,是否為公路局設置,備註,牌面方向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,302020,2771031.7,121.5155452,25.0465418,0K+423,中正區,黎明里,24.4,左側,S0046,禁制,限5,50,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301914.5,2771059.8,121.5145013,25.046799,0K+532,中正區,黎明里,24.3,左側,S0068,禁制,限5,50,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301851.5,2771109.6,121.5138785,25.0472505,0K+606,中正區,黎明里,24.5,右側,S0077,禁制,限5,30,良好,是,,順向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301739.5,2771101.8,121.5127683,25.0471844,0K+713,中正區,光復里,24.2,左側,S0106,禁制,限5,30,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301637.4,2771129.3,121.5117572,25.0474361,0K+816,中正區,光復里,24.4,左側,S0124,禁制,限5,30,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301529.8,2771232.7,121.5106952,25.0483735,0K+951,中正區,光復里,24.6,右側,S0143,禁制,限5,30,良好,是,,順向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301268,2771248,121.508101,25.0485199,1K+212,萬華區,福星里,24.5,中央,S0033C,禁制,限5,30,良好,是,,順向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301201.4,2771249.2,121.5074416,25.0485328,1K+277,萬華區,福星里,24.7,左側,S0206,禁制,限5,30,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,301089.3,2771278.7,121.5063315,25.0488037,1K+393,萬華區,福星里,33.3,左側,S0228,禁制,限5,30,良好,是,,逆向
台1,P0010,臺北市,北區養護工程分局,中和工務段,2016/10/5,300993.4,2771322,121.5053828,25.0491972,1K+496,萬華區,福星里,36.6,左側,S0238,禁制,限5,40,良好,是,,逆向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,300857,2771405.1,121.5040337,25.0499521,1K+656,三重區,清和里,38.3,左側,S0252,禁制,限5,40,良好,是,匝道限速,逆向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,300360.9,2771743.3,121.4991291,25.0530221,2K+256,三重區,同慶里,38.9,右側,S0193,禁制,限5,50,良好,是,,順向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,300078.6,2771904.6,121.4963371,25.0544873,2K+581,三重區,同安里,36,右側,S0207,禁制,限5,50,良好,是,最高速限,順向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,300069.6,2771892.4,121.4962478,25.0543779,2K+583,三重區,同安里,35.5,左側,S0296,禁制,限5,60,良好,是,最高速限,逆向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,299414.7,2772312.7,121.489772,25.0581939,3K+372,三重區,光明里,31.9,右側,S0259,禁制,限5,50,良好,是,,順向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,299168.6,2772636.1,121.4873448,25.0611217,3K+784,三重區,過田里,33.5,右側,S0267,禁制,限5,40,良好,是,,順向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,299020.9,2772658.8,121.485882,25.0613313,3K+941,三重區,光田里,32.1,左側,S0348,禁制,限5,40,良好,是,,逆向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,298389.3,2772686.4,121.4796224,25.0616008,4K+573,三重區,光陽里,35.2,右側,S0323,禁制,限5,50,良好,是,,順向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,298388.1,2772671.3,121.4796104,25.0614646,4K+574,三重區,光陽里,35.2,左側,S0358,禁制,限5,50,良好,是,,逆向
台1,P0010,新北市,北區養護工程分局,中和工務段,2016/10/5,297950.8,2772659,121.4752754,25.061367,5K+013,三重區,頂崁里,34.5,左側,S0380,禁制,限5,50,良好,是,,逆向
